instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C201,30,C,2,4,OPTIMAL,64.0869,2,2,2,0,0,1.0,64.0869,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,5,OPTIMAL,48.575,2,2,2,0,0,1.0,48.575,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,6,OPTIMAL,58.8821,2,2,2,0,0,1.0,58.8821,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,7,OPTIMAL,56.144,2,2,2,0,0,1.0,56.144,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,8,OPTIMAL,43.2852,2,2,2,0,0,1.0,43.2852,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,9,OPTIMAL,32.0432,2,1,1,0,1,0.5,10.5286,0.0,21.5146,80,0.5,2.0,1.0
030_C201,30,C,4,0,OPTIMAL,106.0309,4,4,4,0,0,1.0,106.0309,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,4,1,OPTIMAL,98.7117,4,3,3,0,1,0.75,97.2708,0.0,1.4409,80,0.5,2.0,1.0
030_C201,30,C,4,2,OPTIMAL,79.8243,4,3,3,0,1,0.75,79.4507,0.0,0.3736,80,0.5,2.0,1.0
030_C201,30,C,4,3,OPTIMAL,73.9738,4,4,4,0,0,1.0,73.9738,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,4,4,OPTIMAL,93.5433,4,4,4,0,0,1.0,93.5433,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,4,5,OPTIMAL,137.1529,4,4,4,0,0,1.0,137.1529,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,4,6,OPTIMAL,108.9494,4,4,4,0,0,1.0,108.9494,0.0,0.0,80,0.5,2.0,1.0
